"NA.","the.weight.of.the.stock.picking.concept","NA..1","NA..2","NA..3","NA..4","NA..5","the.original.investment.performance.indicator","NA..6","NA..7","NA..8","NA..9","NA..10","the.normalized..investment.performance.indicator","NA..11","NA..12","NA..13","NA..14","NA..15"
"15","14","0","0.5","0","0","0.5","0","0.184513358346782","-0.00740910588508362","1.26458869819601","0.0628759443892644","0.7","0.55","0.310763490285054","0.239164152791184","0.655650425097423","0.432066589227192","0.32","0.425"
"16","15","0","0","0.5","0","0.5","0","0.215264257737776","0.0126404009783009","0.934076431794567","0.0572405596265285","0.85","0.55","0.4470723973043","0.576678725481111","0.342182194986189","0.354243388135557","0.68","0.425"
"17","16","0","0","0","0.5","0.5","0","0.159603302181588","-0.00973558898750913","1.18650638292965","0.0619734253432961","0.7","0.45","0.200345174173622","0.2","0.581594701126789","0.419603035421981","0.32","0.275"
"18","17","0.5","0","0","0","0","0.5","0.238538802475035","0.0207158843390397","0.878797972589126","0.0727429633302079","0.9","0.5","0.550241014071178","0.712621885297274","0.289754365426125","0.568327560136162","0.8","0.35"
"19","18","0","0.5","0","0","0","0.5","0.275641740758041","0.00733524478495853","1.41678691342888","0.0869897078218204","0.85","0.8","0.714706478975283","0.487371415438523","0.8","0.765071404283837","0.68","0.8"
"20","19","0","0","0.5","0","0","0.5","0.235100518718797","0.0146784928070859","1.02005250189985","0.0809019752599143","0.8","0.6","0.535000201278169","0.610988082682879","0.423724604353495","0.681001397477895","0.56","0.5"
"21","20","0","0","0","0.5","0","0.5","0.186671743467865","-0.00611898931546896","1.28893460549828","0.0895189802408623","0.75","0.55","0.320330921567003","0.260882050676687","0.678740849412346","0.8","0.44","0.425"
"22","21","0","0","0","0","0.5","0.5","0.182525839859538","-0.00147082513166091","1.10008492646388","0.0547994285972979","0.7","0.6","0.301953456170863","0.339129518755598","0.49962987332504","0.320532002138443","0.32","0.5"
"23","22","0.333","0.333","0.333","0","0","0","0.29006145879051","0.0226513293345042","1.09153976143718","0.0713437232168573","0.8","0.75","0.778624479536504","0.745203279695658","0.491525370015404","0.549004417298281","0.56","0.725"
"24","23","0.333","0.333","0","0.333","0","0","0.249062414992763","0.0173469758958768","1.00748445566034","0.0662767653052011","0.8","0.55","0.596888824333462","0.655909483272954","0.411804673957116","0.479031043503263","0.56","0.425"
"25","24","0.333","0","0.333","0.333","0","0","0.237747986781061","0.0171401002057303","0.960763718635896","0.0719341143817541","0.85","0.6","0.546735580895758","0.652426925789845","0.367493257306827","0.557157566068585","0.68","0.5"
"26","25","0","0.333","0.333","0.333","0","0","0.258092745588943","0.013625033057921","1.16027555171043","0.0776638767359169","0.8","0.65","0.636917393187229","0.593254079572072","0.556716555676515","0.636284097205176","0.56","0.575"
"27","26","0.333","0.333","0","0","0.333","0","0.22067942239056","0.00377714837678222","1.1796842420917","0.0596001732589649","0.75","0.6","0.471076091172405","0.427474212131824","0.575124368157532","0.386829040038145","0.44","0.5"
"28","27","0.333","0","0.333","0","0.333","0","0.255283530039162","0.0217973807455574","0.924903302306591","0.062694983992832","0.8","0.6","0.624465038662464","0.730827859139859","0.333482110428104","0.429567573114874","0.56","0.5"
"29","28","0","0.333","0.333","0","0.333","0","0.211310107678067","0.00247602360726065","1.16564735742934","0.0627972677204729","0.7","0.55","0.429544914092319","0.405571001564419","0.56181134519686","0.430980084849164","0.32","0.425"
"30","29","0.333","0","0","0.333","0.333","0","0.188093566318199","0.0100263664664181","0.84484114462693","0.0476637023829056","0.8","0.5","0.326633407755773","0.532673915423357","0.257548641634402","0.221989474964506","0.56","0.35"
"31","30","0","0.333","0","0.333","0.333","0","0.20608178676575","-0.00419784843698582","1.31216411337097","0.0706294271063467","0.7","0.55","0.406369438798333","0.293222648732121","0.700772445390574","0.53914017338457","0.32","0.425"
"32","31","0","0","0.333","0.333","0.333","0","0.189392753400766","0.010875954820767","0.834788659780413","0.0514009781343967","0.8","0.55","0.332392288788376","0.546975935534589","0.248014548793109","0.273600283203618","0.56","0.425"
"33","32","0.333","0.333","0","0","0","0.333","0.283506205520707","0.0246105714861615","1.00845689663209","0.0687748177922373","0.8","0.65","0.749567137275389","0.778185276815017","0.412726967564012","0.513528500060549","0.56","0.575"
"34","33","0.333","0","0.333","0","0","0.333","0.247252883387665","0.0185191458843554","0.984688011707386","0.0786551550909589","0.8","0.55","0.588867749171673","0.675641861504352","0.390183809422898","0.649973394034087","0.56","0.425"
"35","34","0","0.333","0.333","0","0","0.333","0.275625939255887","0.0162228724125316","1.18977820979162","0.0809314656975553","0.8","0.6","0.714636435967416","0.636986259403873","0.584697804641884","0.68140865276843","0.56","0.5"
"36","35","0.333","0","0","0.333","0","0.333","0.220401612582542","0.0154442495494225","0.908043902930134","0.0689026739142602","0.8","0.65","0.469844649099484","0.623878876528097","0.31749212572703","0.515294159924766","0.56","0.575"
"37","36","0","0.333","0","0.333","0","0.333","0.254535117809136","0.00698293057655381","1.31770633107793","0.0855771502879879","0.75","0.75","0.621147566487828","0.481440537421793","0.706028859000904","0.745564351325207","0.44","0.725"
"38","37","0","0","0.333","0.333","0","0.333","0.239753908686055","0.0149812012615228","1.03542344088605","0.0793222153277581","0.75","0.6","0.555627191477912","0.616083894532272","0.438302886399156","0.659185322790387","0.44","0.5"
"39","38","0.333","0","0","0","0.333","0.333","0.250782601948614","0.0201548949507871","0.944525367918216","0.0647974853593434","0.85","0.6","0.604513863225478","0.703178157082419","0.352092294689562","0.458602571350207","0.68","0.5"
"40","39","0","0.333","0","0","0.333","0.333","0.224054067112323","-0.000785329074925741","1.32243611708652","0.0702552111680131","0.7","0.7","0.486034812468746","0.350669199519125","0.710514736832492","0.53397234839182","0.32","0.65"
"41","40","0","0","0.333","0","0.333","0.333","0.228165473998494","0.0157550007633564","0.94028794365477","0.0689014815007091","0.8","0.55","0.504259364922961","0.629110080661866","0.348073388224894","0.515277693003078","0.56","0.425"
"42","41","0","0","0","0.333","0.333","0.333","0.159525431875696","-0.00867439494798702","1.1778657534151","0.0735993087811908","0.65","0.5","0.2","0.217864202607622","0.573399656293921","0.580153468577486","0.2","0.35"
"43","42","0.25","0.25","0.25","0.25","0","0","0.266689390636187","0.0189090724469937","1.06778241495105","0.073103252801109","0.75","0.65","0.675023572636585","0.682205908094929","0.468993155292392","0.573303064227834","0.44","0.575"
"44","43","0.25","0.25","0.25","0","0.25","0","0.250004343367106","0.013145267803897","1.10571205592423","0.0613364528223949","0.85","0.65","0.601064091715549","0.585177683189519","0.504966819913287","0.41080661021394","0.68","0.575"
"45","44","0.25","0.25","0","0.25","0.25","0","0.20378810662501","0.00341305643322979","1.09908097595925","0.0580867499080881","0.7","0.6","0.396202287943303","0.421345067031883","0.498677695085999","0.365929056322592","0.32","0.5"
"46","45","0.25","0","0.25","0.25","0.25","0","0.224037420584548","0.0186618850790561","0.831234362982992","0.0541199753129152","0.8","0.6","0.485961023732429","0.678044741467125","0.244643541905805","0.311148928611231","0.56","0.5"
"47","46","0","0.25","0.25","0.25","0.25","0","0.207852071714496","0.00343293452186553","1.12619405623448","0.0630631771116233","0.8","0.7","0.414216546078285","0.42167969594009","0.524392593293185","0.434652224532773","0.56","0.65"
"48","47","0.25","0.25","0.25","0","0","0.25","0.283479798454786","0.0234817188744379","1.04516309197912","0.075872580311734","0.8","0.55","0.749450083193572","0.759182105840692","0.447540277868126","0.611546758460228","0.56","0.425"
"49","48","0.25","0.25","0","0.25","0","0.25","0.260728280976916","0.0216915763847676","0.964960025148597","0.0686068526975827","0.8","0.65","0.648599879074143","0.729046742334143","0.371473166403281","0.511208945693274","0.56","0.575"
"50","49","0.25","0","0.25","0.25","0","0.25","0.236929833578277","0.0197728323800191","0.89863075154618","0.0755662187156654","0.8","0.65","0.543108969282623","0.696746493391526","0.308564396852625","0.607315984324758","0.56","0.575"
"51","50","0","0.25","0.25","0.25","0","0.25","0.27883419539285","0.0201806109167281","1.10937735969351","0.0795828076542688","0.85","0.7","0.728857609855922","0.703611061159065","0.508443109304556","0.662784035191193","0.68","0.65"
"52","51","0.25","0.25","0","0","0.25","0.25","0.260548880042531","0.0176040144168552","1.04847813340484","0.0579438353140992","0.9","0.75","0.647804652080184","0.660236484787955","0.450684367434843","0.363955442868462","0.8","0.725"
"53","52","0.25","0","0.25","0","0.25","0.25","0.260997137265272","0.0225781418284856","0.940957638434705","0.067398902049666","0.85","0.65","0.649791633056524","0.743971236933289","0.348708547820229","0.494527460730045","0.68","0.575"
"54","53","0","0.25","0.25","0","0.25","0.25","0.248257012635637","0.00975876042470762","1.19160037069108","0.0708464393578299","0.8","0.6","0.593318733143127","0.528169019645491","0.586425999357173","0.542137056259046","0.56","0.5"
"55","54","0.25","0","0","0.25","0.25","0.25","0.19384033512497","0.0138896257978848","0.784163442238522","0.0500453273597785","0.8","0.55","0.352106996836315","0.597708249251867","0.2","0.25487909782143","0.56","0.425"
"56","55","0","0.25","0","0.25","0.25","0.25","0.223672811532077","-4.34245257795729e-05","1.31477580349665","0.077299208822296","0.75","0.7","0.484344828355515","0.363158464147328","0.703249454459584","0.631248127955826","0.44","0.65"
"57","56","0","0","0.25","0.25","0.25","0.25","0.205759956881712","0.012434484903428","0.899535387228409","0.064985263421595","0.8","0.5","0.404942869800088","0.573212322217714","0.309422381790041","0.461195737658182","0.56","0.35"
"58","57","0.2","0.2","0.2","0.2","0.2","0","0.232442852011519","0.0139981593092424","0.991586187605167","0.0577693016442229","0.8","0.65","0.523219614327384","0.599535308738069","0.396726256434674","0.361545178182037","0.56","0.575"
"59","58","0.2","0.2","0.2","0.2","0","0.2","0.273563171319892","0.0259064398059628","0.933934700048325","0.0733736991716865","0.8","0.6","0.705492845101514","0.8","0.342047772139713","0.577037858419905","0.56","0.5"
"60","59","0.2","0.2","0.2","0","0.2","0.2","0.276522938921064","0.0204586854373022","1.06943441910604","0.0659760386389825","0.8","0.65","0.718612548743903","0.708292183923183","0.470559967998736","0.474878086286658","0.56","0.575"
"61","60","0.2","0.2","0","0.2","0.2","0.2","0.23070645322237","0.0116271350653219","1.04368419794708","0.0604691452525943","0.8","0.7","0.515522713560709","0.559621347762512","0.446137648247766","0.398829317756607","0.56","0.65"
"62","61","0.2","0","0.2","0.2","0.2","0.2","0.234729012468548","0.0228648054296503","0.794886765926057","0.062892946464873","0.8","0.55","0.5333534328283","0.748796948783069","0.210170337500148","0.432301383479008","0.56","0.425"
"63","62","0","0.2","0.2","0.2","0.2","0.2","0.242940085900418","0.0112551951309746","1.12511412177859","0.0676833887160817","0.8","0.8","0.569750496560386","0.553360089125931","0.523368349484596","0.498456147763937","0.56","0.8"
"64","63","0.167","0.167","0.167","0.167","0.167","0.167","0.241633933274431","0.018168273806131","0.941707523942642","0.0607473254528572","0.8","0.7","0.563960739500441","0.669735260391534","0.349419762824496","0.402670914129569","0.56","0.65"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
